method,split,layer,top1,top5,mrr
ridge_to_final_implicit_lens,validation,11,0.05078125,0.1171875,0.10042187528212015
raw_final_prototype,validation,11,0.05078125,0.16015625,0.11564260897994454
mean_subtoken_embedding,validation,11,0.0078125,0.0546875,0.05106689979420316
explicit_final_subtoken_embedding,validation,11,0.08984375,nan,nan
implicit_token_lens,test,11,0.140625,0.23828125,0.2037528975997689
ridge_to_final_implicit_lens,test,11,0.037109375,0.1015625,0.08828546746503216
raw_final_prototype,test,11,0.033203125,0.125,0.09073878923801379
mean_subtoken_embedding,test,11,0.01171875,0.044921875,0.05104123917016103
explicit_final_subtoken_embedding,test,11,0.103515625,nan,nan
implicit_token_lens,validation,12,0.1640625,0.25390625,0.21720893276351377
ridge_to_final_implicit_lens,validation,12,0.05078125,0.1171875,0.10000904154532839
raw_final_prototype,validation,12,0.04296875,0.16015625,0.11174440947125269
mean_subtoken_embedding,validation,12,0.01953125,0.05078125,0.057810922663664305
explicit_final_subtoken_embedding,validation,12,0.0625,nan,nan
implicit_token_lens,test,12,0.142578125,0.234375,0.20294477047068976
ridge_to_final_implicit_lens,test,12,0.03515625,0.1015625,0.08546399440453266
raw_final_prototype,test,12,0.033203125,0.123046875,0.0911353113302247
mean_subtoken_embedding,test,12,0.013671875,0.05859375,0.05440626624016759
explicit_final_subtoken_embedding,test,12,0.107421875,nan,nan
implicit_token_lens,validation,13,0.1484375,0.265625,0.21262350396823182
ridge_to_final_implicit_lens,validation,13,0.046875,0.1171875,0.09774145263249162
raw_final_prototype,validation,13,0.04296875,0.15234375,0.10892042905453404
mean_subtoken_embedding,validation,13,0.0,0.06640625,0.04580552291728497
explicit_final_subtoken_embedding,validation,13,0.078125,nan,nan
implicit_token_lens,test,13,0.1328125,0.244140625,0.1981838678446065
ridge_to_final_implicit_lens,test,13,0.03125,0.103515625,0.08515282731604626
raw_final_prototype,test,13,0.03125,0.115234375,0.0913012043429286
mean_subtoken_embedding,test,13,0.015625,0.056640625,0.05514692490633659
explicit_final_subtoken_embedding,test,13,0.09375,nan,nan
implicit_token_lens,validation,14,0.15234375,0.2421875,0.2117147320251047
ridge_to_final_implicit_lens,validation,14,0.05078125,0.1171875,0.09900267675919575
raw_final_prototype,validation,14,0.03515625,0.15625,0.10496226791778769
mean_subtoken_embedding,validation,14,0.0,0.0546875,0.04376830995822573
explicit_final_subtoken_embedding,validation,14,0.0703125,nan,nan
implicit_token_lens,test,14,0.140625,0.234375,0.20042899936734027
ridge_to_final_implicit_lens,test,14,0.03125,0.10546875,0.08491754816831883
raw_final_prototype,test,14,0.03125,0.115234375,0.09144153548964776
mean_subtoken_embedding,test,14,0.013671875,0.0546875,0.05451973664952373
explicit_final_subtoken_embedding,test,14,0.103515625,nan,nan
implicit_token_lens,validation,15,0.1484375,0.2734375,0.21924518030813703
ridge_to_final_implicit_lens,validation,15,0.05859375,0.11328125,0.1073550895990382
raw_final_prototype,validation,15,0.05078125,0.2109375,0.13089065759678892
mean_subtoken_embedding,validation,15,0.00390625,0.0546875,0.0488578403889364
explicit_final_subtoken_embedding,validation,15,0.05859375,nan,nan
implicit_token_lens,test,15,0.154296875,0.26953125,0.22023521586997868
ridge_to_final_implicit_lens,test,15,0.0390625,0.115234375,0.09469103499959983
raw_final_prototype,test,15,0.056640625,0.171875,0.12618177178741657
mean_subtoken_embedding,test,15,0.015625,0.0703125,0.05911411490216813
explicit_final_subtoken_embedding,test,15,0.119140625,nan,nan
implicit_token_lens,validation,16,0.140625,0.25,0.20928332723825493
ridge_to_final_implicit_lens,validation,16,0.05859375,0.11328125,0.10612416060827323
raw_final_prototype,validation,16,0.046875,0.17578125,0.12064769207385452
mean_subtoken_embedding,validation,16,0.01953125,0.0703125,0.06364670595199243
explicit_final_subtoken_embedding,validation,16,0.078125,nan,nan
implicit_token_lens,test,16,0.142578125,0.2578125,0.20877356599497188
ridge_to_final_implicit_lens,test,16,0.03125,0.109375,0.08882544333203822
raw_final_prototype,test,16,0.0546875,0.158203125,0.12137920640545319
mean_subtoken_embedding,test,16,0.021484375,0.078125,0.06753487107529395
explicit_final_subtoken_embedding,test,16,0.1171875,nan,nan
implicit_token_lens,validation,17,0.16015625,0.26953125,0.22431423741014897
ridge_to_final_implicit_lens,validation,17,0.0625,0.11328125,0.10903394647896171
raw_final_prototype,validation,17,0.06640625,0.20703125,0.14545006547522826
mean_subtoken_embedding,validation,17,0.03515625,0.09765625,0.08170532604943434
explicit_final_subtoken_embedding,validation,17,0.12890625,nan,nan
implicit_token_lens,test,17,0.158203125,0.267578125,0.22487706415063713
ridge_to_final_implicit_lens,test,17,0.037109375,0.115234375,0.09201189266119733
raw_final_prototype,test,17,0.068359375,0.19140625,0.14272200886170416
mean_subtoken_embedding,test,17,0.021484375,0.087890625,0.06831676705038563
explicit_final_subtoken_embedding,test,17,0.111328125,nan,nan
implicit_token_lens,validation,18,0.140625,0.26953125,0.2083356245202132
ridge_to_final_implicit_lens,validation,18,0.0546875,0.11328125,0.10354791327141923
raw_final_prototype,validation,18,0.0546875,0.2109375,0.14628565268041252
mean_subtoken_embedding,validation,18,0.01953125,0.109375,0.07340347889067125
